LIA_NUM,DATE,APE_SICORE,LIB_SICORE,EVT_SICORE,AUTO,NAT_SICORE,SURF
J00010000461,2021-06-07 08:45:48,5912Z,REALISATION DE DESSINS D ANIMATION ,01P,X,,
J00010000479,2021-07-28 15:37:51,4321A,ELECTRICIEN  ELECTRICITE GENERALE ,,Z,14,
J00010000818,2021-10-19 19:33:16,8211Z,PRESTATIONS DE SERVICES  ASSISTANCE  AUX RESSORTISSANTS BRITANNIQUES POUR LES TACHES ADMINISTRATIVES ET LA RECHERCHE D IMMOBILIER,01P,X,99,
J00010000842,2021-12-02 19:35:11,9609Z,BIEN ETRE ET SOINS ENERGETIQUES DU CORPS ET DE L ESPRIT  HYPNOTHERAPIE  MAGNETISME  PENDULE  NUMEROLOGIE  REIKI  LAHOCHI  THERAPIE BR,05P,X,99,
J00010001196,2021-12-27 19:32:15,6810Z,MARCHAND DE BIENS   CREATION DE LOTISSEMENTS ET DE PROMOTION IMMOBILIERE,01M,C,99,
J00010002582,2022-01-31 19:32:14,9609Z,MASSAGES SHIATSU   AMMA ASSIS,01P,C,99,
J00010002608,2022-01-31 19:32:11,6622Z,AGENT GENERAL D ASSURANCE SWISSLIFE,01P,L,,
J00010002616,2022-01-31 19:32:11,6622Z,AGENT GENERAL D ASSURANCE SWISSLIFE,01P,L,,
J00010001899,2022-01-21 19:32:15,8121Z,NETTOYAGE,01P,M,99,
J00010002798,2022-02-08 03:54:47,8299Z,APPORTEUR D AFFAIRE  MISE EN RELATION D ADOPTANTS ET D ELEVEURS D ANIMAUX PURE RACE PROSPECTION  ACCOMPAGNEMENT DANS LA PROCEDURE D ADOPTI,01P,X,,
J00010002962,2022-02-14 19:33:53,5920Z,PRODUCTION ET EDITION MUSICALE  ARTISTIQUE  AUDIOVISUELLE ET EVENEMENTIELLE SOUS TOUTES LES FORMES ET SUR TOUS LES SUPPORTS ,01M,C,99,
J00010003077,2022-02-18 03:44:38,9319Z,JOUEUR DE POKER PROFESSIONNEL LE POKER SERA MON ACTIVITE PRINCIPALE ET MES REVENUS SERONT ISSUS DE LA PRATIQUE DE CE JEU,01P,X,,
J00010003192,2022-02-18 19:33:50,7022Z,MISSIONS DE RECHERCHE  ANALYSE ET CONSEIL AUPRES D ORGANISATIONS PUBLIQUES ET PRIVEES,01P,X,,
J00010002566,2022-01-31 11:31:48,8559B,PRESTATIONS DE FORMATION  D AUDIT ET DE CONSEILS,05P,L,,
J00010003168,2022-02-18 19:33:53,5829C,PRESTATION DE SERVICE DE VEILLE INFORMATIONNELLE,01P,X,,
J00010003127,2022-02-18 09:51:37,9609Z,THERAPIE  BIEN ETRE   NETTOYAGE ET REEQUILIBRAGE ENERGETIQUE ,54P,X,,
J00010002939,2022-02-11 19:34:48,4729Z,IL S AGIT DE VENDRE AUX PARTICULIERS DES INFUSIONS EN SACHET OU EN VRAC ,01P,C,10,
J00010002707,2022-02-07 19:32:21,5621Z,CHEF A DOMICILE,01P,C,99,
J00010002772,2022-02-07 19:32:27,8552Z,COURS DE MUSIQUE,01P,X,,
J00010002699,2022-02-07 19:32:20,4673A,COMMERCIALISATION EXTENSION OSSATURE BOIS POUR MAISON INDIVIDUELLE,05P,R,,
J00010003002,2022-02-15 19:34:44,6201Z,DEVELOPPEMENT LOGICIEL APPLICATIF ET SERVICE CONSEIL INFORMATIQUE,01P,X,,
J00010002673,2022-02-07 19:32:18,3299Z,CREATION D OBJET DE DECORATION  LUSTRES  LAMPES  BIBELOTS  ETC   MARQUE PAGES  TABLEAUX  ETC,01P,M,04,
J00010002749,2022-02-08 09:14:08,4791B,VENTE A DISTANCE SUR INTERNET DE PORTE BEBE,01P,C,99,
J00010003218,2022-02-18 19:33:55,5814Z,REDACTION D ARTICLES ET OPTIMISATION SEO,01P,X,,
J00010002822,2022-02-08 19:32:37,9609Z,EDUCATION COMPORTEMENTALISTE   CONSEIL AUX PROPRIETAIRE D ANIMAUX,05P,X,,
J00010003010,2022-02-16 04:13:40,6201Z,CREATION DE SITES ET APPLICATIONS WEB SUR MESURE,01P,X,,
J00010003119,2022-02-18 03:44:42,6910Z,CONSULTATIONS JURIDIQUES,01P,X,,
J00010003200,2022-02-18 19:33:54,9609Z,GARDE DE CHIENS AU DOMICILE DE L ENTREPRISE  VISITE DE CHATS ET NAC AU DOMICILE DU PROPRIETAIRE ,01P,X,,
J00010003150,2022-02-18 19:33:51,9609Z,ACCOMPAGNEMENT EN BIEN ETRE AU TRAVAIL   ATELIERS  THEMATIQUES INDIVIDUELS ET EN GROUPE AUTOUR DU BIEN ETRE AU TRAVAIL  COURS EXERCICES  ,01P,X,,
J00010002723,2022-02-07 19:32:23,8559B,SOUTIEN SCOLAIRE SPECIFIQUE POUR LES ENFANTS PRESENTANT DES TROUBLES DES APPRENTISSAGES,01P,X,,
J00010002780,2022-02-07 19:32:29,9609Z,CONSEIL COACHING DANS LE SECTEUR SPORTIF,01P,X,,
J00010002830,2022-02-09 11:28:56,6202A,CONSEIL EN SYSTEMES ET LOGICIELS INFORMATIQUES,01P,X,,
J00010003226,2022-02-18 19:33:57,8559B,DISPENSER DES FORMATIONS DE SECOURISTE SAUVETEUR DU TRAVAIL ET PREVENTION DES RISQUES PROFESSIONNELS  UTILISATION DE MATERIEL PEDAGOGIQUE,01P,X,,
J00010003093,2022-02-18 03:44:39,9003B,JOURNALISTE INDEPENDANTE POUR LE SITE EN LIGNE PLEINE VIE,01P,X,,
J00010002996,2022-02-15 19:34:43,5320Z,SERVICES DE LIVRAISONS,05P,C,99,
J00010003317,2022-02-21 19:32:24,8559A,FORMATION PROFESSIONNELLE,01P,X,,
J00010004182,2022-03-01 19:32:42,8560Z,CONCEPTION DE RESSOURCES DEDIEES A L ENSEIGNEMENT TECHNIQUE,01P,X,,
J00010004117,2022-03-01 19:32:35,6201Z,CREATION DE SITES WEB  WEB DESIGN  CONSEIL DESIGN DE L INTERFACE UTILISATEUR  CREATION DES APPLICATIONS MOBILES ,01P,L,,
J00010004232,2022-03-01 19:32:45,6202A,CONSEILS ET SERVICES EN INFORMATIQUE EMBARQUEE,01P,X,,
J00010003143,2022-02-18 19:33:47,8690F,ACCOMPAGNEMENT PSYCHO EDUCATIF POUR ENFANTS ET PARENTS D ENFANT AYANT UN TROUBLE DU SPECTRE DE L AUTISME ET AUTRES TROUBLES DU DEVELOPPEME,01P,X,,
J00010005502,2022-03-08 19:37:21,7022Z,CONSULTING   ETUDE ET CONSEIL TECHNIQUE AUPRES DES COLLECTIVITES  ASSOCIATIONS  STRUCTURES D ACCUEIL POUR PUBLIC VULNERABLE ,05P,X,,
J00010004547,2022-03-03 19:32:11,8559A,FORMATION JURIDIQUE DES ELUS ET DU PERSONNEL DES COLLECTIVITES TERRITORIALES,01P,X,,
J00010005528,2022-03-08 19:37:22,6619B,CONSEIL EN PROTECTION SOCIALE ET PATRIMONIALE,01P,L,,
J00010005882,2022-03-09 08:56:32,7022Z,CONSEIL EN STRATEGIE ET ORGANISATION DES ENTREPRISES ET COLLECTIVITES PUBLIQUES  CONSEIL POUR LES AFFAIRES ET AUTRES CONSEIL DE GESTION,05P,L,,
J00010006567,2022-03-10 04:11:37,9003B,INTERVIEWS DE PARTICULIERS PUIS REDACTION DE TEXTES BIOGRAPHIQUES EN LEUR NOM ,01P,X,,
J00010003952,2022-02-28 19:37:35,6201Z,CREATION SITE WEB MAINTENANCE PC ET SITE FORMATION,01P,X,,
J00010003978,2022-02-28 19:37:39,8211Z,TRAVAUX DIVERS ADMINISTRATIFS DE SECRETARIAT,01P,M,99,
J00010004018,2022-02-28 19:37:43,4321A,ELECTRICIEN DEPANNAGE ET INSTALLATION ELECTRIQUE ,01P,M,99,
J00010003937,2022-02-28 19:37:35,9602A,PRESTATION DE COIFFURE COUPE COLORATION MECHES HOMMES FEMMES ENFANTS  A DOMICILE,01P,M,99,
J00010005437,2022-03-10 04:11:38,7311Z,MARKETING,01P,X,,
J00010005072,2022-03-08 04:21:59,4618Z,CONSEILS ET APPORT D AFFAIRES DANS LE DOMAINE DE L ENERGIE,01P,C,99,
J00010006377,2022-03-09 19:38:52,6621Z,CONSEIL ET FORMATION EN GESTION DE SINISTRES,01P,X,,
J00010007078,2022-03-10 19:32:56,6202A,ACTIVITE DE CONSEIL INFORMATIQUE  NOTAMMENT WEBDESIGN,01P,X,,
J00010005122,2022-03-08 04:22:03,4399D,RENOVATION PISCINE COMPRENANT DE LA PETITE MACONNERIE  DE LA POSE DE PVC ARME  PLOMBERIE  ELECTRICITE,01P,X,,
J00010004968,2022-03-07 19:33:30,8622C,AIDE A L EXPERTISE MEDICALE DE L ETAT DES PATIENTS POUR EVALUER LEUR MODE DE RAPATRIEMENT,01P,X,,
J00010003929,2022-03-01 09:24:17,5920Z,SERVICES EN LIGNE DE COMPOSITION MUSICALE SUR MESURE POUR CHANTEUR  EN HOME STUDIO ,01P,L,,
J00010005098,2022-03-08 04:22:00,7022Z,ACTIVITE DE CONSEIL  COMPTABILITE  GESTION FINANCIERE ET GESTION D ENTREPRISES,05P,X,,
J00010007052,2022-03-11 08:05:43,6201Z,DEVELOPPEMENT INFORMATIQUE  CONSULTANT ET FORMATEUR DANS LE SECTEUR DU NUMERIQUE ,54P,X,,
J00010004109,2022-03-01 11:31:38,7320Z,CONSEILS EN DEVELOPPEMENT COMMERCIAL A L INTERNATIONAL  ETUDES DE MARCHE ET PRESTATIONS DE SERVICES  ET FORMATION,01P,X,,
J00010006898,2022-03-10 19:32:41,7112B,ETUDES SCIENTIFIQUES ET TECHNIQUES DANS LE DOMAINE DE LA PROTECTION DE L ENVIRONNEMENT MARIN  EN FRANCE ET A L ETRANGER ,01P,X,,
J00010006872,2022-03-10 19:32:39,8559B,COURS DE SOUTIEN SCOLAIRE   AIDE AUX DEVOIRS ET SURVEILLANCE D UN GROUPE D ENFANTS DANS UN ETABLISSEMENT SCOLAIRE APRES LA CLASSE ,01P,X,,
J00010005957,2022-03-10 19:32:39,8559B,FORMATIONS EN ENTREPRISE EN MATIERE DE PREVENTION DES RISQUES PSYCHOSOCIAUX  DES TROUBLES MUSCULOSQUELETTIQUES ET D AMELIORATION DE LA QU,05P,L,,
J00010007037,2022-03-10 19:32:53,8559B,ANIMATION DE SESSIONS DE FORMATION ET CONSEIL,01P,X,,
